Number,Hanzi,Pinyin,English,Part of Speech,First PoS,Eng pos,Level,Levels,example1_chinese,example1_pinyin,example1_english,example2_chinese,example2_pinyin,example2_english,example3_chinese,example3_pinyin,example3_english
1,爱,ài,to love; to like; affection,动 v.,动 v.,verb,1,1,我爱妈妈。,Wǒ ài māma.,I love my mom.,我爱喝茶。,Wǒ ài hē chá.,I love drinking tea.,他爱看电影。,Tā ài kàn diànyǐng.,He loves watching movies.
2,八,bā,eight,数 num.,数 num.,numeral,1,1,他今年八岁。,Tā jīnnián bā suì.,He is eight years old this year.,我们八点上班。,Wǒmen bā diǎn shàngbān.,We start work at eight.,我有八本书。,Wǒ yǒu bā běn shū.,I have eight books.
3,爸爸,bàba,father; dad,名 n.,名 n.,noun,1,1,这是我爸爸。,Zhè shì wǒ bàba.,This is my dad.,我爸爸在家。,Wǒ bàba zài jiā.,My dad is at home.,我爱我爸爸。,Wǒ ài wǒ bàba.,I love my dad.
4,吧,ba,suggestion particle; add to end of sentence to make it a suggestion,助 part.,助 part.,particle,1,1,我们去吃饭吧。,Wǒmen qù chī fàn ba.,Let’s go eat.,请坐吧。,Qǐng zuò ba.,Please have a seat.,明天再来吧。,Míngtiān zài lái ba.,Come again tomorrow.
5,白天,báitiān,daytime; during the day; day,名 n.,名 n.,noun,1,1,我白天上班。,Wǒ báitiān shàngbān.,I work during the day.,白天很热。,Báitiān hěn rè.,It is hot in the daytime.,他白天在学校。,Tā báitiān zài xuéxiào.,He is at school during the day.
6,百,bǎi,hundred,数 num.,数 num.,numeral,1,1,这件衣服一百元。,Zhè jiàn yīfu yì bǎi yuán.,This item of clothing costs one hundred yuan.,学校有三百个学生。,Xuéxiào yǒu sān bǎi gè xuéshēng.,The school has three hundred students.,我知道一百个汉字。,Wǒ zhīdào yì bǎi gè Hànzì.,I know one hundred Chinese characters.
7,半,bàn,half,数 num.; （副 adv.）,数 num.,numeral,1,1（4）,现在三点半。,Xiànzài sān diǎn bàn.,It is half past three.,我学习了半个小时。,Wǒ xuéxí le bàn gè xiǎoshí.,I studied for half an hour.,一半学生在学校，一半在家。,Yíbàn xuéshēng zài xuéxiào; yíbàn zài jiā.,Half of the students are at school; and half are at home.
8,包子,bāozi,bao,名 n.,名 n.,noun,1,1,我喜欢吃包子。,Wǒ xǐhuan chī bāozi.,I like eating steamed buns.,包子很好吃。,Bāozi hěn hǎochī.,Steamed buns taste good.,我想吃包子。,Wǒ xiǎng chī bāozi.,I want to eat steamed buns.
9,杯子,bēizi,cup; glass,名 n.,名 n.,noun,1,1,这是我的杯子。,Zhè shì wǒ de bēizi.,This is my cup.,杯子在桌子上。,Bēizi zài zhuōzi shàng.,The cup is on the table.,请给我一个杯子。,Qǐng gěi wǒ yí gè bēizi.,Please give me a cup.
10,本,běn,measure word for books,量 m.w.,量 m.w.,measure word,1,1,我有一本书。,Wǒ yǒu yì běn shū.,I have one book.,这本书很好看。,Zhè běn shū hěn hǎokàn.,This book is enjoyable to read.,你要哪本书？,Nǐ yào nǎ běn shū?,Which book do you want?
